Show,Character,Dialogue,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Physical,health,illness,wellness,mental,substances,sexual,food,death,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Blue Bloods,Ronald Banse,"Who is it?
Yes?
I don’t know what you’re talking about.
I’d like to see your warrant.
What girl?
A doll was stolen out of my van if that’s what you mean. I was giving it to my niece for her first communion.
I don’t have to talk to you. I know my rights.
What are you doing? Are you arresting me?
Fine, let’s go downtown, my lawyer will get me out.
Then maybe I will go visit my little niece.
Let me go!
Ow!
Go to hell.
I don't know!
Oh my God, I am heartly sorry for having offended Thee --
Police brutality! Torture!",1,105,1.96,29.5,97.09,20.23,5.53,8.57,84.76,80.95,61.9,32.38,25.71,16.19,0.95,6.67,0.95,0,6.67,10.48,0.95,0.95,11.43,17.14,1.9,1.9,2.86,32.38,4.76,1.9,6.67,2.86,2.86,3.81,1.9,1.9,0,0.95,0,0.95,0,0,0,0,0,0,0,0,0,29.52,8.57,2.86,4.76,4.76,6.67,1.9,0
NCIS,Tom O’Rourke,"See, I knew it. I’m cursed. First the radio, then the weather, now
this...terrible accident.
Doing his rounds. Security check. Slipped off deck, I guess.
What are you thinking?
Why?
Now?
By accident. And I appreciate your position. But you need to
appreciate mine. I’m three hours off schedule...
I get it. You’re investigating a crime. But from my perspective...
We’re all just trying to make a living here. Can’t we handle this
after we’ve finished our run...?
I’m telling you as captain of this ship there is absolutely nothing
illegal or...or...suspicious...
Yeah. Just need to sit--
Where am I?
And my ship?
I should be there.
Had a package of chew in my shirt pocket, any chance it’s around?
Time I quit anyway. Bad habit.
Trip like this. Your eyes always scan the horizon for pirates.
Never expected them to be part of my own crew.
They called me a hero last time
this happened. Because I got my
crew off the boat.
Truth is, I told my crew to run to
the lifeboats. I ran too, not fast
enough...
I knew exactly who he was... I was too scared to do anything.
Just lucky, I guess...
Had to stop him. Hijackers locked the crew up in the mess. But
Vilandro needed me to work the comm. It was him and me...
I wasn’t giving up my ship. Not to
Vilandro, not again... Radio got
destroyed in the fight... I tossed
Vilandro overboard. Hoped someone
would find the body.
Good would be me back on my ship.
That’s my brand...
Don’t know what you’re--
He wasn’t my friend.
That bastard tortured me for ten days, made me beg for my life...
Humiliated me... and somehow believed I was going into business with him...
I just needed him to set up the hijacking.
He figured out that I’d taken the money off the container before weeven left port. He was angry.",1,324,13.9,7.88,95.49,5.19,6,13.89,78.4,73.77,60.8,24.38,19.44,12.35,1.23,2.16,2.78,0.62,4.94,14.2,5.25,0.93,11.73,10.19,6.17,4.32,2.78,20.06,2.78,2.47,5.86,1.85,3.7,3.4,1.23,2.16,0.31,0.31,0,0.31,1.23,0,0,0,0,0,0,0.31,0,37.04,26.23,3.09,2.16,0,4.32,1.23,0
FBI,Robert Lawrence,"Are you familiar with Godwin's Law?
It's the idea that the endpoint of any intellectual debate is one side
calling the other Nazis. I'm not a Nazi.
I prefer Americanist.
I don't believe in violence as a means to any social end.
Looking at public policies through a single, objective lens: is it good for our country?
I told your colleagues last year: I don't know about the bomb. But I do
know New York has more synagogues than any city outside Israel.
It pushed out a hospice. And we don't have enough of those.
I'm passionate about our country not going bankrupt. But very soon, 1 out
of every 3 dollars we spend will go to medical costs.
It's not a joke. We throw away billions on people in their last
year of life -- seventy-five percent of it in their final few months. Do
you not see the absurdity of that?
We should be putting them in hospices, letting them die the way God intended,
and using that money --
You work for the United States government. Don't you care what happens to it?
Or you, Agent Casillas?
Stop taking notes, and engage. Tell me you're worried about the impact
on your community.
Let me explain to you why we have to make economic decisions rather than
emotional ones.
Or do you -- and your partner -- feel like you may be on shaky ground?
Don't you have anything to say?
Am I dismayed by the bombings? Yes. Am I surprised by them? No...
The violence in that community -- like the drugs and unemployment --
are symptoms of an underlying dysfunction no one wants to address.
We can only help these people if we're honest about root causes.
Families where the father's in prison, the mother can't do it all by herself --
What exactly are you accusing me of?
Conspiracy. Which means you have no proof that I actually did anything.
I'd like to call my lawyer. My phone's in my bag. Can I reach in
and get it without you shooting me?
Now, I'm just getting the number.",1,346,30.17,70.27,72.33,27.91,9.61,17.92,79.19,74.28,61.27,20.81,14.74,5.78,2.6,4.62,0.29,1.45,6.07,15.61,5.78,1.73,14.45,10.98,4.05,4.05,3.76,19.36,4.91,4.62,5.78,2.89,2.31,2.02,0.87,0.58,0.29,0,0,0,1.45,0.87,0,0,0,0,0,0,0.29,23.12,7.8,2.31,3.18,0,4.91,4.91,0
Elementary,Mantlo,"I’m sorry -- ?
It was an old ring box. Lisa’s grandmother gave it to her. Why?
For the last time: I loved my wife. I didn’t hurt her. And until this
morning, I had no idea there wasany “safe room” in my house.
For the last time: I loved my wife. I didn’t hurt her. And until this
morning, I had no idea there was any “safe room” in my house.
The house was gutted before Lisa and I moved in two years ago. She
oversaw all of the construction, I just signed the checks.The house was gutted before Lisa 
and I moved in two years ago. 
She oversaw all of the construction, I
just signed the checks.
We had a few arguments about money back then. She said she wanted
one, but we were so over budget
that I put my foot down. Obviously, she didn’t listen. 
I showered before I left... there was traffic...
...like to thank the police again for finding the man who killed my
wife. I would have liked to have seen him stand trial for what he
did, but I take some comfort in the fact he can’t hurt anyone else...
Excuse me?
You’re Mr. Holmes, right? We met the other day --
I never even heard the name “Peter Saldua” until the police told me he
was the man who’d killed Lisa --
So... according to you... I tricked a stalker into hunting my wife.
I’m sorry, but that just doesn’t make any sense to me. Stalkers
stalk. Eventually, he would’ve seen us together and realized I was up to something.
Hypothetically, Mr. Holmes, a man
wants out of his marriage to his
very wealthy wife. He knows that,
over the course of their
relationship, he’s signed a
prenuptial agreement that says he
gets nothing if he leaves her...
and a living trust that says he
gets everything if she dies.
Hypothetically... wouldn’t that man
be smarter to look for a way to
trigger the clauses in the second
document as opposed to the first?
As to the lengths such a man --
hypothetically, a very intelligent
and careful man -- would go to keep
his hands clean, well... how better
to commit a murder than manipulate
someone else into doing it for you?
Not at all. I can’t promise it’ll
change my mind about suing the
department for what your
“consultant” did to my car... but
it’s a start.
You have a funny way of saying
you’re sorry, Captain.
No. I did not treat Peter Saldua.
I never even met the man. Now. If
that’s all, I’m late for an
appointment with my attorney --
You know you’re just digging
yourself deeper, right? Putting
this man in the same room with me --
This is ridiculous --
Okay, Mr. Holmes. Amaze me. What
do a bag of rice and an overturned
washing machine have to do with
anything?
It’s okay, Peter. It’s okay. I’m
here for you. Let’s try upping
your meds, see where that leads us.",1,498,23.01,54.44,55.44,37.57,9.76,11.65,77.51,73.09,61.24,21.89,16.47,7.83,1.2,2.21,4.62,0.2,5.42,17.67,7.63,1,12.05,9.64,6.02,5.42,3.01,17.67,4.42,2.81,6.02,3.61,2.41,1.81,1,0.8,0,0.2,0,0,2.41,0.2,0,0,0,0,0,0.2,0.8,29.72,13.65,4.42,1.61,0,4.82,5.22,0
Death in Paradise,Terrance Jackson,"Need any help at the office?
Market’s looking pretty bullish at the moment.
Good of you to make an effort.
I can lend you a tie if you want. Got a lovely burgundy one. Silk. Hand crafted.
Terrance. This is my sister Anna. And my brother Joseph.
My father was a great man. It's disrespectful to leave him lying out like this.
He passed me by moments later.
Be careful. It’s rather expensive.
Yes. Don't do that.
Dad always liked to take a walk before lunch. Clear his head from business. I do it myself sometimes.
It’s a business thing. Take the client out to play golf or go shooting. Dad liked to keep his aim in.
Everything he did was legal-
I heard it too, in the library. Was doing some reading- Harvard Review of Business.
It’s a shotgun. It’s kept mounted in the hallway.
Can’t have you running around, firing off guns willy nilly.
You sure it's not the murder weapon?
Well, you seem to know your stuff. If there's anything else you need-
Am I now in charge of the company? Uh- I suppose technically- yes. Yes I am.
They’ll be devastated. He was well loved by everyone he worked with.
I’m the only one who’s qualified to do it.
Joseph. Are you serious? The only time he’s got involved with the company is across the bloody picket line.
Joseph protested some of Dad’s resort plans. Dad almost had him thrown in jail.
Um... you know, I don’t. Emily will though.
No. I think maybe that-
Yes. She keeps track of these things. I didn’t spend much time in Dad’s study-
...Dad’s study... I guess it’s my study now. I always expected him to hand the keys over to me. Father to son. Never imagined it would be like this.
Have a seat.
You know one day all this will be mine. I'm very... important.
You could be important too. Come on.
I'm sorry- I didn't mean to- Rosie- please-
- don't tell dad...
I was drunk. It was a mistake. Stupid, foolish mistake and... I’ve paid for it.
...he stopped my wages. My expense account. It was under review. Dad said if I made another mistake he’d bump me right down to the same level as the doorman.
It was. He didn’t even tell me face to face. Just sent me a memo. That’s his way.
I doubt it.
Sometimes I think they just don’t realise how hurtful they can be. I’m used to his temper, his anger- but it’s the way he was so dismissive of me-
...What? No, no... I couldn't do that... he was my father...
No- I've always- always been loyal to my father. No matter what- we had a strong relationship. I mean it wasn't like him and Joseph. We didn't have thos kinds of problems, you know?
Well, you’d think so. I did. But maybe I was wrong. Last night... I heard them arguing...
I don’t know. Ever since dad’s body was found, I’ve thought about it and turned it over in my head and...
I'm loyal to my family. Above all.
And... I just hope, with all my heart, that Joseph feels the same way.
Might be morning before the power comes back on. We've got some more of these camping lights stored away for emergencies.
And he throws coins out the window and works out the guy was pushed.
It's pretty old.
Um... yes. That's right.
No- your officer, he said it had to be the pistol-
This is ridiculous-
Wait, sorry... you actually think it was me?
What possible reason would I have for killing my father?
You can't be serious-
I'm calling my lawyer. This is nothing short of harassment.
Don't you dare say that!
...He was going to cut us out. All of us! We'd have nothing!",1,641,6.99,40.06,59.9,26.34,5.94,10.92,81.12,77.07,61.47,24.18,16.69,8.58,0.94,2.81,3.59,0.62,7.49,13.42,4.84,0.47,10.92,15.13,5.46,3.28,3.74,25.27,4.99,2.34,5.46,2.96,2.5,0.94,0.47,0.47,0,0.31,0,0.16,2.03,0,0,0,0,0.16,0,0.16,0.31,35.88,21.37,2.18,1.25,0.47,7.33,3.28,0
Castle,Harrison Tisdale,"Yeah. Hey Mitch! Why aren’t these pallets on the truck?
Last time I saw her? About a month ago at Dad’s.
Not really. Honestly, we didn’t have much in common, aside from our last name. She always wanted to see the best in everyone...
That’s right. Like that guy who killed her. She did everything to help him. Even brought him here and begged me to give him a job.
This is a business, not a charity. My employees mess up, I lose my bond.
I don’t know... Maybe if I had helped him, things would be different. Maybe she’d still be alive. Or then again, maybe we’d both be dead.
She was upset. We both were.
What does that have to do with her murder?
Is this some kind of joke? You already caught the killer.
Of course.
I was traveling on business.
Check the stamps and you’ll find I was out of the country for all three murders.
Yeah, I'm a little under it.
Anyone stop in to see me today?
Stay back!
I said stay back.
Shut up.
I'll blow your head off.
Shut up!
OPEN THE GATE!
Self-righteous bitch would’ve given it all away to the ungrateful poor. She didn’t deserve it.
It’s not over. Now drop your guns or I blow his brains out.",1,219,16.85,48.19,60.84,1,5.76,8.22,84.93,78.54,65.3,23.29,16.44,6.39,1.83,1.83,5.94,0,6.85,15.53,5.48,0.46,13.7,12.79,6.39,2.74,3.2,21.46,4.11,3.65,7.76,1.37,5.94,0.46,0,0.46,0,0,0.46,0.46,3.65,0.46,0,0,0,0,0,0,2.28,28.77,15.07,3.2,2.28,1.83,5.94,0.46,0
The Mentalist,Malcom Boatwright,"She's worked for us three summers in a row now. Lovely girl.
Yes it is.
I can't even think about it. Try that.
And caraway.
No, there's no shame in it. A lot of butter. The great thing about food, it's necessity and indulgence all in one.
Hey, it wasn't me by the way. I have twenty staff that will tell you. I only ever leave the kitchen to take a leak or yell at customers.
Attention Randall. Pay it.
Settle down now everyone. Settle down. These are agents of the California Bureau of Investigation. They want to talk to you a moment.
Help me put this on the bed.
What?
Why are you here?
Oh no.
You wanted this too. Don't pretend you didn't.
--I swear to God woman! One more word...",1,133,24.73,53.53,38.71,42.52,5.12,9.02,81.95,78.2,64.66,21.05,10.53,4.51,0.75,3.76,0.75,0.75,10.53,18.05,6.77,3.01,13.53,9.02,8.27,2.26,5.26,18.8,3.01,6.77,3.01,2.26,0.75,0.75,0,0.75,0,0,0,0,2.26,0,0,0,0,0,0,2.26,0,30.08,18.8,2.26,1.5,0.75,5.26,1.5,0
